"","plz","plz_name","wkr_nr","wkr_name","wk_pct","wk_mult","land_nr","land_name"
"1","01067","Dresden",159,"Dresden I",1,0,"14","Sachsen"
"2","01069","Dresden",159,"Dresden I",1,0,"14","Sachsen"
"3","01097","Dresden",160,"Dresden II – Bautzen II",1,0,"14","Sachsen"
"4","01099","Dresden",160,"Dresden II – Bautzen II",1,0,"14","Sachsen"
"5","01108","Dresden",160,"Dresden II – Bautzen II",0.99,0,"14","Sachsen"
"6","01109","Dresden",160,"Dresden II – Bautzen II",1,0,"14","Sachsen"
"7","01127","Dresden",160,"Dresden II – Bautzen II",1,0,"14","Sachsen"
"8","01129","Dresden",160,"Dresden II – Bautzen II",0.99,0,"14","Sachsen"
"9","01139","Dresden",160,"Dresden II – Bautzen II",0.99,0,"14","Sachsen"
"10","01156","Dresden",160,"Dresden II – Bautzen II",0.99,0,"14","Sachsen"
"11","01157","Dresden",160,"Dresden II – Bautzen II",0.99,0,"14","Sachsen"
"12","01159","Dresden",159,"Dresden I",0.29,1,"14","Sachsen"
"13","01159","Dresden",160,"Dresden II – Bautzen II",0.71,1,"14","Sachsen"
"14","01169","Dresden",160,"Dresden II – Bautzen II",0.99,0,"14","Sachsen"
"15","01187","Dresden",159,"Dresden I",0.54,1,"14","Sachsen"
"16","01187","Dresden",160,"Dresden II – Bautzen II",0.45,1,"14","Sachsen"
"17","01189","Dresden",159,"Dresden I",0.98,0,"14","Sachsen"
"18","01217","Dresden",159,"Dresden I",0.96,0,"14","Sachsen"
"19","01219","Dresden",159,"Dresden I",1,0,"14","Sachsen"
"20","01237","Dresden",159,"Dresden I",1,0,"14","Sachsen"
"21","01239","Dresden",159,"Dresden I",0.98,0,"14","Sachsen"
"22","01257","Dresden",159,"Dresden I",0.99,0,"14","Sachsen"
"23","01259","Dresden",159,"Dresden I",0.99,0,"14","Sachsen"
"24","01277","Dresden",159,"Dresden I",1,0,"14","Sachsen"
"25","01279","Dresden",159,"Dresden I",1,0,"14","Sachsen"
"26","01307","Dresden",159,"Dresden I",1,0,"14","Sachsen"
"27","01309","Dresden",159,"Dresden I",1,0,"14","Sachsen"
